epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13408,1.43954,4.11611,1.342,0.01089,0.81926,0.17159,0.1113,1.09363,3.61788,0.99626,0.000271056,0.000271056,0.000271056
2,5.51435,1.31485,3.03866,1.22197,0.86993,0.26557,0.41795,0.25117,1.3711,2.55676,1.1108,0.00054329,0.00054329,0.00054329
3,7.77843,1.25703,2.4136,1.14492,0.4903,0.66263,0.54805,0.3781,1.12744,1.63714,1.0418,0.000810026,0.000810026,0.000810026
4,10.1575,1.1752,2.11394,1.13727,0.54874,0.71859,0.63619,0.4155,1.24793,1.32103,1.07716,0.00080826,0.00080826,0.00080826
5,12.4186,1.13936,2.05252,1.15065,0.60509,0.77717,0.6438,0.40323,1.316,1.4513,1.11846,0.000800013,0.000800013,0.000800013
6,14.9017,1.06303,1.88561,1.10394,0.53424,0.91556,0.67457,0.43497,1.22608,1.43217,1.13268,0.000791767,0.000791767,0.000791767
7,17.1797,1.11219,1.87844,1.15717,0.7311,0.74305,0.73378,0.49848,1.19869,1.23346,1.14591,0.00078352,0.00078352,0.00078352
8,19.4319,1.1279,1.77912,1.13023,0.65214,0.78201,0.71632,0.493,1.13198,1.16238,1.10841,0.000775273,0.000775273,0.000775273
9,21.6765,1.06522,1.63415,1.10046,0.68449,0.76529,0.74418,0.45261,1.37874,1.19474,1.2134,0.000767026,0.000767026,0.000767026
10,24.0231,1.039,1.56505,1.11279,0.61675,0.88809,0.74605,0.46982,1.31265,1.05762,1.1827,0.00075878,0.00075878,0.00075878
11,26.3202,1.06546,1.53744,1.12119,0.65565,0.82578,0.76082,0.52865,1.14428,1.11679,1.11095,0.000750533,0.000750533,0.000750533
12,28.5753,1.00786,1.55165,1.09428,0.64119,0.85359,0.74509,0.51377,1.13112,1.09152,1.06998,0.000742286,0.000742286,0.000742286
13,29.5109,0.99705,1.45521,1.06599,0.72215,0.71121,0.77711,0.52997,1.16526,1.00047,1.09917,0.00073404,0.00073404,0.00073404
14,31.7351,1.00001,1.48169,1.08933,0.73726,0.71111,0.76864,0.49817,1.24676,1.00757,1.14106,0.000725793,0.000725793,0.000725793
15,33.968,0.97196,1.42053,1.05154,0.67583,0.88368,0.7799,0.49796,1.20392,0.99934,1.12979,0.000717546,0.000717546,0.000717546
16,36.1844,0.95079,1.3292,1.06013,0.68431,0.9705,0.79413,0.52447,1.16907,0.98351,1.11461,0.000709299,0.000709299,0.000709299
17,38.3937,0.97073,1.34789,1.0685,0.69011,0.89771,0.8216,0.54394,1.27656,1.00313,1.15345,0.000701053,0.000701053,0.000701053
18,40.6377,1.00408,1.32503,1.05984,0.72593,0.88887,0.81784,0.55618,1.15347,0.86918,1.09332,0.000692806,0.000692806,0.000692806
19,42.8638,0.95616,1.33993,1.06829,0.64353,0.90089,0.83604,0.56415,1.1658,0.94171,1.09385,0.000684559,0.000684559,0.000684559
20,45.1495,0.94313,1.32462,1.06302,0.73593,0.88774,0.83754,0.57603,1.10631,0.89516,1.0623,0.000676313,0.000676313,0.000676313
21,47.4201,0.97897,1.32407,1.07406,0.77265,0.91783,0.84031,0.55497,1.21384,0.88981,1.1434,0.000668066,0.000668066,0.000668066
22,49.7547,0.95556,1.24969,1.06853,0.84325,0.90588,0.90108,0.62916,1.19054,0.8183,1.11983,0.000659819,0.000659819,0.000659819
23,52.0251,0.94924,1.13218,1.03229,0.96959,0.77043,0.8723,0.5902,1.26462,0.80068,1.16867,0.000651573,0.000651573,0.000651573
24,54.2845,0.95911,1.22486,1.05952,0.80426,0.89907,0.87317,0.60056,1.21518,0.77339,1.12701,0.000643326,0.000643326,0.000643326
25,56.6112,0.9427,1.12244,1.04859,0.85765,0.86303,0.88146,0.58911,1.1637,0.79637,1.10851,0.000635079,0.000635079,0.000635079
26,58.9222,0.92564,1.18076,1.0618,0.84169,0.91268,0.89889,0.57837,1.20459,0.82755,1.15279,0.000626832,0.000626832,0.000626832
27,59.8241,0.9401,1.17576,1.04419,0.88504,0.88497,0.90944,0.61815,1.12008,0.81051,1.10443,0.000618586,0.000618586,0.000618586
28,62.0778,0.96439,1.19566,1.06899,0.91849,0.90856,0.91428,0.66349,1.01198,0.78695,1.03782,0.000610339,0.000610339,0.000610339
29,64.3558,0.90437,1.15058,1.03724,0.90226,0.92237,0.9133,0.61107,1.23195,0.82048,1.13967,0.000602092,0.000602092,0.000602092
